id,name,theme,version_control,reference_dataset,endorser,provider_link,description,short_description
1.1,"Antarctic annual mean, Arctic September rate of sea ice area (SIA) loss per degree warming (dSIA / dGMST)",Oceans and sea ice,version 1 - 24-11-04 REF launch,"OSI SAF/CCI, HadCRUT",CMIP Model Benchmarking Task Team,https://docs.esmvaltool.org/en/latest/recipes/recipe_seaice_sensitivity.html,"This metric evaluates the rate of sea ice loss per degree of global warming, following the approach used for sea ice benchmarking within the Sea Ice Model Intercomparison Project analysis (Notz and SIMIP Community, 2020; Roach et al., 2020). The metric is calculated by regressing the time-series of sea ice area on global mean temperature. Sea ice responds strongly to climate forcing and warming","Rate of sea ice area loss per degree of warming, as in plot 1d of Notz et al. and figure 3e of Roach et al."
1.2,Atlantic meridional overturning circulation (AMOC),Oceans and sea ice,version 1 - 24-11-04 REF launch,RAPID-v2023-1,CMIP Model Benchmarking Task Team,https://doi.org/10.1029/2018MS001354,"Provides a key indicator of the strength of ocean circulation, which redistributes freshwater, heat and carbon across the Atlantic Basin (Le Bras et al., 2023). The AMOC is a key component of the global ocean conveyor belt and plays an important role in transporting heat poleward and ocean biogeochemical tracers from the surface into the ocean interior. The strength of the AMOC at 26.5◦N is commonly used for evaluation of model fidelity since it can be compared with the long-term RAPID-MOCHA (Rapid Climate Change - Meridional Overturning Circulation and Heatflux Array) observational dataset (Moat et al., 2025)",Comparison of the model Atlantic meridional ocean circulation (AMOC) circulation strength with refernce data from RAPID-v2023-1
1.3,"El Niño Southern Oscillation (ENSO) diagnostics (lifecycle, seasonality, amplitude, teleconnections)",Oceans and sea ice,version 1 - 24-11-04 REF launch,"CMAP-V1902, TropFlux-1-0, AVISO-1-0, ERA-5, GPCP-SG-2-3, HadISST-1-1",CMIP Model Benchmarking Task Team,https://docs.esmvaltool.org/en/latest/recipes/recipe_enso_ref.html,"The El Niño Southern Oscillation (ENSO) is the primary mode of the global interannual climate variability, mainly reflected by the variations in surface wind stress and ocean temperature in the tropical Pacific Ocean. The ENSO variability can be calculated from both sea surface temperature and atmospheric pressure differences 680 between different tropical Pacific areas. The Southern Oscillation Index (SOI) uses pressure differences between the Tahiti and Darwin regions. The Oceanic Niño Index (ONI) summarizes SST anomalies in the Niño 3.4 region.Given its implications for regional climate variability, capturing the observed ENSO spatial and temporal characteristics would increase the fidelity and robustness in a model’s climate projections.",ENSO CLIVAR metrics - reproducing background climatology and ENSO characteristics
1.4,"Sea surface temperature (SST) bias, Sea surface salinity (SSS) bias",Oceans and sea ice,version 1 - 24-11-04 REF launch,WOA2023,CMIP Model Benchmarking Task Team,https://doi.org/10.1029/2018MS001354,"Th Sea surface temperature (SST) bias, Sea surface salinity (SSS) distributions provide large scale patterns of surface ocean circulation as well as reflecting dynamical air-sea interactions and ocean-sea ice interactions in the polar regions. SST and SSS biases have a significant impact on the coupling of ESM’s two majors components, the atmosphere and the ocean. Satellite data products and localized moored sensors are used to produce measurements that are incorporated into reference data to calculate SST and SSS biases in models",Apply the ILAMB Methodology* to compare the model sea surface temperature (SST) and sea surface salinity (SSS) with reference data from WOA2023
1.5,Ocean heat content (OHC),Oceans and sea ice,version 1 - 24-11-04 REF launch,MGOHCTA-WOA09,CMIP Model Benchmarking Task Team,https://doi.org/10.1029/2018MS001354,"The Ocean Heat Content (OHC) may provide one of the most reliable signals about the long-term climate change and decadal to multidecadal variablity, including their temporal variation and spatial patterns. It is compared, between models and observations, on a gridded basis (1◦ × 1◦), based on almost all available in situ ocean observations (e.g., Argo, conductivity–temperature–depth (CTD) profilers, Mechanical BathyThermographs, bottles, moorings, gliders, and animal-borne ocean sensors; Cheng et al., 2024). Before use, the data are carefully bias corrected, vertically and horizontally interpolated and mapped onto a grid for comparison with models",Apply the ILAMB Methodology* to compare the model ocean heat content (OHC) with reference data from MGOHCTA-WOA09
1.6,Antarctic & Arctic sea ice area seasonal cycle,Oceans and sea ice,version 1 - 24-11-04 REF launch,OSISAF-V3,CMIP Model Benchmarking Task Team,https://docs.esmvaltool.org/en/latest/recipes/recipe_ref.html,"The sea ice area, calculated as the sum over the Northern (Arctic) and Southern (Antarctic) Hemisphere grid cell areas multiplied by the sea ice fraction within each cell, exhibits a distinct seasonal cycle. Arctic sea ice area typically has minimum values in September, while Antarctic sea ice area is lowest in February. The seasonal cycle is driven by the seasonal cycle of the insolation, sea ice processes, as well as the exchange with the atmosphere and ocean and can be seen as an overview metric for the general state of the sea ice in a model.  In addition to the multi-year average seasonal cycle of Arctic and Antarctic sea ice area, the diagnostic produces time series of the September (Arctic) and February (Antarctic) sea ice area.","Seasonal cycle of Arctic (NH) and Antarctic (SH) sea ice area, time series of Arctic September (NH) and Antarctic February (SH) sea ice area"
2.1,Soil carbon,Land and land ice,version 1 - 24-11-04 REF launch,"HWSD-2-0, NCSCD-2-2",CMIP Model Benchmarking Task Team,https://doi.org/10.1029/2018MS001354,Soil carbon is the organic matter and inorganic carbon in global soils. It is an important component of the global carbon cycle and affects soil moisture retention and saturation. Analyzing stored soil carbon helps track quantify the dynamics of the terrestrial carbon cycle within models and the movement of carbon through the Earth system.,Apply the ILAMB Methodology* to compare the model soil carbon with reference data from HWSD-2-0 and NCSCD-2-2
2.2,Gross primary production (GPP),Land and land ice,version 1 - 24-11-04 REF launch,"FLUXNET2015-1-0, WECANN-1-0, CRU-4-9 (source_id not confirmed)",CMIP Model Benchmarking Task Team,https://doi.org/10.1029/2018MS001354,"Gross primary production is the process by which plants “fix” atmospheric or aqueous carbon dioxide through photosynthetic reduction into organic compounds, and it is affected by increases in atmospheric carbon dioxide (CO2) levels and warming (Anav et al., 2015). A fraction of gross primary productivity supports plant respiration and the rest is stored as biomass in stems, leaves, roots, or other plant parts. Land use change, heat and drought stress due to anthropogenic warming, and rising atmospheric CO2 will differentially influence gross primary production in ecosystems and alter the global carbon cycle. Thus, models must be evaluated to ensure they capture the observed responses to these changes.",Apply the ILAMB Methodology* to compare the model gross primary production (GPP) with reference data from FLUXNET2015-1-0 and WECANN-1-0
2.3,Runoff,Land and land ice,version 1 - 24-11-04 REF launch,LORA-1-1,CMIP Model Benchmarking Task Team,https://doi.org/10.1029/2018MS001354,"Surface water runoff plays an important role in the hydrological cycle by returning excess precipitation to the oceans and controlling how much water flows into water systems (Trenberth et al., 2007; Trenberth and Caron, 2001). Changes in atmospheric circulation and distributions of precipitation have a direct effect on changes in runoff from land. Models must be evaluated to ensure they exhibit the observed responses to precipitation and soil moisture processes that lead to runoff and transport of freshwater into rivers and oceans.",Apply the ILAMB Methodology* to compare the model surface runoff with reference data from LORA-1-1
2.4,Surface soil moisture,Land and land ice,version 1 - 24-11-04 REF launch,OLC-ORS-V0,CMIP Model Benchmarking Task Team,https://doi.org/10.1029/2018MS001354,,Apply the ILAMB Methodology* to compare the model surface soil moisture with reference data from OLC-ORS-V0
